Season,Age,Tm,G,GS,FG%,3P%,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,CHI,42,0,.405,.182,.441,.418,1.0,1.3,.768,0.5,0.8,1.3,0.3,0.3,0.1,0.3,0.5,2.6
2012-13,23,CHI,82,20,.467,.381,.489,.506,2.3,2.8,.803,1.7,2.3,4.0,1.4,1.0,0.4,0.8,1.2,8.6
2013-14,24,CHI,67,67,.397,.283,.457,.446,3.9,5.0,.769,1.3,3.6,4.9,2.6,1.9,0.5,1.5,1.6,13.1
2014-15,25,CHI,65,65,.462,.378,.484,.502,5.9,7.1,.834,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20.0
2015-16,26,CHI,67,67,.454,.312,.489,.485,5.9,7.1,.832,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9,20.9
2016-17,27,CHI,76,75,.455,.367,.477,.492,7.7,8.9,.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9
2017-18,28,MIN,59,59,.474,.350,.509,.512,6.2,7.2,.854,1.3,4.0,5.3,4.9,2.0,0.4,1.8,1.3,22.2
2018-19,29,TOT,65,65,.462,.347,.494,.499,4.8,5.6,.855,1.9,3.4,5.3,4.0,1.9,0.6,1.5,1.7,18.7
2019-20,30,MIA,58,58,.455,.244,.495,.474,7.6,9.1,.834,1.8,4.8,6.7,6.0,1.8,0.6,2.2,1.4,19.9
2020-21,31,MIA,52,52,.497,.245,.538,.514,6.9,8.0,.863,1.8,5.1,6.9,7.1,2.1,0.3,2.1,1.4,21.5
2021-22,32,MIA,23,23,.500,.250,.535,.515,7.0,8.1,.871,1.9,4.0,5.9,5.4,2.0,0.4,2.0,1.3,23.2