Player,Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Jimmy Butler,2010-11,21,MARQUETTE,37,1282,187,382,20,58,188,240,90,225,86,53,13,54,49,582,.490,.345,.783,34.6,15.7,6.1,2.3
Kyrie Irving,2010-11,18,DUKE,11,303,55,104,18,39,64,71,6,37,47,16,6,27,23,192,.529,.462,.901,27.5,17.5,3.4,4.3
Derrick Williams,2010-11,19,ARIZONA,38,1141,226,380,42,74,247,331,105,314,43,37,26,100,106,741,.595,.568,.746,30.0,19.5,8.3,1.1
Tristan Thompson,2010-11,19,TEXAS,36,1104,172,315,0,0,127,261,138,282,45,34,86,64,100,471,.546,,.487,30.7,13.1,7.8,1.3
Brandon Knight,2010-11,19,KENTUCKY,38,1363,217,513,87,231,136,171,25,153,159,25,8,120,83,657,.423,.377,.795,35.9,17.3,4.0,4.2
Kemba Walker,2010-11,20,UCONN,41,1543,316,739,75,227,258,315,53,223,184,77,7,93,56,965,.428,.330,.819,37.6,23.5,5.4,4.5
Jimmer Fredette,2010-11,21,BYU,37,1323,346,765,124,313,252,282,24,127,160,49,1,131,49,1068,.452,.396,.894,35.8,28.9,3.4,4.3
Klay Thompson,2010-11,20,WASHST,34,1179,240,551,98,246,155,185,25,178,127,56,32,115,99,733,.436,.398,.838,34.7,21.6,5.2,3.7
Alec Burks,2010-11,19,COLORADO,38,1193,251,535,28,96,249,302,91,247,112,41,12,99,89,779,.469,.292,.825,31.4,20.5,6.5,2.9
Markieff Morris,2010-11,21,KANSAS,38,926,195,331,25,59,103,153,103,316,53,30,43,78,108,518,.589,.424,.673,24.4,13.6,8.3,1.4
Marcus Morris,2010-11,21,KANSAS,38,1076,240,421,26,76,148,215,99,290,62,32,24,67,97,654,.570,.342,.688,28.3,17.2,7.6,1.6
Kawhi Leonard,2010-11,19,SANDIEGOST,36,1172,211,475,25,86,110,145,111,380,91,51,21,76,89,557,.444,.291,.759,32.6,15.5,10.6,2.5
Nikola Vucevic,2010-11,20,USC,34,1187,215,426,29,83,123,163,97,350,54,18,47,58,96,582,.505,.349,.755,34.9,17.1,10.3,1.6
Iman Shumpert,2010-11,20,GATECH,31,992,177,436,42,151,141,175,53,183,108,85,6,72,86,537,.406,.278,.806,32.0,17.3,5.9,3.5
Chris Singleton,2010-11,21,FLORIDAST,28,814,124,286,35,95,84,126,58,191,33,55,41,61,90,367,.434,.368,.667,29.1,13.1,6.8,1.2
Tobias Harris,2010-11,18,TENNESSEE,34,993,185,402,23,76,128,170,67,247,44,24,29,62,70,521,.460,.303,.753,29.2,15.3,7.3,1.3
Nolan Smith,2010-11,22,DUKE,37,1259,260,568,57,163,187,230,44,166,189,45,3,118,72,764,.458,.350,.813,34.0,20.6,4.5,5.1
Kenneth Faried,2010-11,21,MOREHEAD,35,1216,233,374,0,0,139,241,200,508,37,67,82,92,108,605,.623,,.577,34.7,17.3,14.5,1.1
Reggie Jackson,2010-11,20,BOSTONCOLL,34,1161,219,435,71,169,109,137,35,146,152,36,18,81,58,618,.503,.420,.796,34.1,18.2,4.3,4.5
MarShon Brooks,2010-11,22,PROVIDENCE,32,1168,276,571,67,197,169,219,72,225,80,48,39,98,80,788,.483,.340,.772,36.5,24.6,7.0,2.5
Jordan Hamilton,2010-11,20,TEXAS,36,1159,243,552,90,234,95,122,72,276,76,31,23,77,64,671,.440,.385,.779,32.2,18.6,7.7,2.1
JaJuan Johnson,2010-11,21,PURDUE,34,1203,257,520,15,51,169,209,82,291,33,30,79,56,53,698,.494,.294,.809,35.4,20.5,8.6,1.0
Norris Cole,2010-11,22,CLEVST,36,1285,251,572,51,149,227,266,27,210,191,80,3,97,87,780,.439,.342,.853,35.7,21.7,5.8,5.3
Cory Joseph,2010-11,19,TEXAS,36,1166,136,322,52,126,51,73,23,128,109,37,11,54,65,375,.422,.413,.699,32.4,10.4,3.6,3.0