Player,Season,Age,Tm,Lg,Pos,G,GS,MP/G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,RB/G,AST/G,STL/G,BLK/G,TOV,PF,PTS/G
Jimmy Butler,2020-21,31,MIA,NBA,SF,52,52,33.6,7.0,14.2,.497,0.5,2.0,.245,6.6,12.2,.538,.514,6.9,8.0,.863,1.8,5.1,6.9,7.1,2.1,0.3,2.1,1.4,21.5
Kyrie Irving,2020-21,28,BRK,NBA,PG,54,54,34.9,10.2,20.1,.506,2.8,7.0,.402,7.4,13.1,.561,.576,3.7,4.0,.922,1.0,3.8,4.8,6.0,1.4,0.7,2.4,2.6,26.9
Derrick Williams,2017-18,26,LAL,NBA,PF,2,0,4.5,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,.250,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
Enes Kanter,2020-21,28,POR,NBA,C,72,35,24.4,4.7,7.8,.604,0.0,0.1,.250,4.7,7.7,.607,.605,1.8,2.3,.774,3.9,7.1,11.0,1.2,0.5,0.7,1.1,2.3,11.2
Tristan Thompson,2020-21,29,BOS,NBA,PF,54,43,23.8,3.1,6.0,.518,0.0,0.1,.000,3.1,6.0,.523,.518,1.3,2.2,.592,3.1,5.0,8.1,1.2,0.4,0.6,1.1,2.2,7.6
Jonas Valanciunas,2020-21,28,MEM,NBA,C,62,61,28.3,7.1,12.0,.592,0.3,0.9,.368,6.8,11.1,.611,.606,2.5,3.3,.773,4.1,8.4,12.5,1.8,0.6,0.9,1.6,2.9,17.1
Jan Vesely,2013-14,23,TOT,NBA,PF,54,1,14.4,1.6,3.2,.514,0.0,0.0,,1.6,3.2,.514,.514,0.4,1.0,.339,1.5,2.0,3.5,0.4,1.0,0.6,0.7,2.2,3.6
Bismack Biyombo,2020-21,28,CHO,NBA,C,66,36,20.4,2.2,3.7,.587,0.0,0.0,.000,2.2,3.7,.589,.587,0.7,1.6,.448,2.1,3.2,5.3,1.2,0.3,1.1,1.1,2.1,5.0
Brandon Knight,2019-20,28,TOT,NBA,PGSG,25,3,18.5,2.4,6.7,.353,1.8,5.2,.344,0.6,1.4,.389,.488,0.8,1.4,.588,0.2,1.5,1.6,2.8,0.4,0.1,1.5,1.6,7.3
Kemba Walker,2020-21,30,BOS,NBA,PG,43,43,31.8,6.6,15.7,.420,3.0,8.2,.360,3.7,7.5,.486,.514,3.1,3.5,.899,0.4,3.6,4.0,4.9,1.1,0.3,2.0,1.4,19.3
Jimmer Fredette,2018-19,29,PHO,NBA,SG,6,0,10.8,1.3,4.8,.276,0.0,2.2,.000,1.3,2.7,.500,.276,1.0,1.0,1.000,0.2,1.0,1.2,1.3,0.5,0.0,0.8,0.8,3.7
Klay Thompson,2018-19,28,GSW,NBA,SG,78,78,34.0,8.4,18.0,.467,3.1,7.7,.402,5.3,10.3,.516,.553,1.7,2.0,.816,0.5,3.4,3.8,2.4,1.1,0.6,1.5,2.0,21.5
Alec Burks,2020-21,29,NYK,NBA,SG,49,5,25.6,4.3,10.2,.420,2.1,5.0,.415,2.2,5.2,.425,.522,2.1,2.4,.856,0.4,4.2,4.6,2.2,0.6,0.3,1.0,2.1,12.7
Markieff Morris,2020-21,31,LAL,NBA,PF,61,27,19.7,2.5,6.2,.405,1.1,3.4,.311,1.4,2.8,.521,.491,0.6,0.8,.720,0.8,3.6,4.4,1.2,0.4,0.3,0.9,1.7,6.7
Marcus Morris,2020-21,31,LAC,NBA,PF,57,29,26.4,4.8,10.2,.473,2.5,5.2,.473,2.4,5.1,.472,.592,1.3,1.6,.820,0.6,3.5,4.1,1.0,0.6,0.3,1.0,2.1,13.4
Kawhi Leonard,2020-21,29,LAC,NBA,SF,52,52,34.1,8.9,17.5,.512,1.9,4.9,.398,7.0,12.6,.557,.568,5.0,5.7,.885,1.1,5.4,6.5,5.2,1.6,0.4,2.0,1.6,24.8
Nikola Vucevic,2020-21,30,TOT,NBA,C,70,70,33.5,9.5,19.9,.477,2.5,6.3,.400,7.0,13.7,.513,.540,1.9,2.2,.840,2.1,9.6,11.7,3.8,0.9,0.7,1.8,2.0,23.4
Iman Shumpert,2020-21,30,BRK,NBA,SG,2,0,5.5,0.5,2.0,.250,0.0,1.5,.000,0.5,0.5,1.000,.250,0.0,0.0,,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0
Chris Singleton,2013-14,24,WAS,NBA,SF,25,0,10.0,1.0,2.7,.373,0.3,0.8,.368,0.7,1.9,.375,.425,0.7,1.0,.720,0.7,1.5,2.2,0.2,0.4,0.1,0.7,1.0,3.0
Tobias Harris,2020-21,28,PHI,NBA,PF,62,62,32.5,7.6,14.9,.512,1.3,3.4,.394,6.3,11.5,.546,.556,2.9,3.3,.892,1.0,5.8,6.8,3.5,0.9,0.8,1.7,1.9,19.5
Donatas Motiejunas,2018-19,28,SAS,NBA,PF,3,0,4.3,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.7,.000,0.7,0.3,1.0,0.3,0.0,0.3,1.0,2.0,2.0
Nolan Smith,2012-13,24,POR,NBA,PG,40,0,7.2,1.1,2.9,.368,0.2,0.7,.214,0.9,2.2,.419,.395,0.5,0.7,.714,0.2,0.5,0.7,0.9,0.2,0.0,0.7,0.7,2.8
Kenneth Faried,2018-19,29,TOT,NBA,C,37,13,19.7,4.2,7.2,.589,0.2,0.7,.320,4.0,6.5,.617,.604,1.7,2.7,.646,2.6,4.1,6.8,0.5,0.5,0.6,0.9,2.2,10.4
Nikola Mirotic,2018-19,27,TOT,NBA,PF,46,25,27.1,5.2,11.8,.439,2.5,6.9,.365,2.7,4.9,.545,.546,2.3,2.7,.847,1.3,6.1,7.4,1.2,0.7,0.7,1.0,2.3,15.2
Reggie Jackson,2020-21,30,LAC,NBA,SG,67,43,23.0,3.9,8.7,.450,1.8,4.2,.433,2.1,4.5,.465,.554,1.0,1.2,.817,0.4,2.5,2.9,3.1,0.6,0.1,1.1,1.9,10.7
MarShon Brooks,2018-19,30,MEM,NBA,SG,29,0,13.3,2.6,5.8,.450,0.5,1.9,.278,2.1,4.0,.530,.494,0.8,1.1,.697,0.4,1.1,1.6,0.9,0.3,0.1,0.7,1.1,6.6
Jordan Hamilton,2015-16,25,NOP,NBA,SF,11,4,27.6,4.5,10.5,.422,1.2,4.1,.289,3.3,6.5,.507,.478,1.3,1.9,.667,1.1,4.5,5.6,2.3,0.7,0.3,1.5,2.2,11.4
JaJuan Johnson,2011-12,22,BOS,NBA,PF,36,0,8.3,1.5,3.4,.446,0.0,0.0,,1.5,3.4,.446,.446,0.2,0.3,.667,0.6,1.1,1.6,0.2,0.1,0.4,0.4,0.7,3.2
Norris Cole,2016-17,28,OKC,NBA,PG,13,0,9.6,1.2,4.0,.308,0.2,1.0,.231,1.0,3.0,.333,.337,0.6,0.8,.800,0.0,0.8,0.8,1.1,0.6,0.0,0.5,1.4,3.3
Cory Joseph,2020-21,29,TOT,NBA,PG,63,13,23.0,3.2,6.8,.469,0.7,2.1,.341,2.5,4.7,.527,.522,1.1,1.4,.818,0.6,2.0,2.5,3.4,1.0,0.3,1.3,2.2,8.2