Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Bam Adebayo,22,72,72,2417,440,790,.557,2,14,.143,438,776,.564,.558,264,382,.691,176,559,735,368,82,93,204,182,1146
2,Duncan Robinson,25,73,68,2166,323,687,.470,270,606,.446,53,81,.654,.667,67,72,.931,10,222,232,102,35,19,70,193,983
3,Kendrick Nunn,24,67,67,1962,401,914,.439,137,391,.350,264,523,.505,.514,85,100,.850,21,159,180,220,56,15,114,152,1024
4,Jimmy Butler,30,58,58,1959,345,758,.455,29,119,.244,316,639,.495,.474,438,525,.834,106,280,386,350,103,32,127,81,1157
5,Goran Dragić,33,59,3,1663,319,724,.441,124,338,.367,195,386,.505,.526,191,246,.776,29,158,187,301,40,10,144,124,953
6,Tyler Herro,20,55,8,1508,270,631,.428,116,298,.389,154,333,.462,.520,87,100,.870,16,208,224,121,34,9,87,76,743
7,Derrick Jones Jr.,22,59,16,1375,184,349,.527,37,132,.280,147,217,.677,.580,95,123,.772,66,167,233,62,58,38,30,130,500
8,Kelly Olynyk,28,67,9,1300,184,398,.462,95,234,.406,89,164,.543,.582,86,100,.860,44,261,305,116,45,23,71,173,549
9,Meyers Leonard,27,51,49,1034,119,234,.509,53,128,.414,66,106,.623,.622,18,28,.643,30,230,260,55,14,15,39,107,309
10,Jae Crowder,29,20,8,553,79,164,.482,57,128,.445,22,36,.611,.655,22,30,.733,12,95,107,36,25,10,15,58,237
11,Andre Iguodala,36,21,0,418,38,88,.432,14,47,.298,24,41,.585,.511,6,15,.400,17,61,78,51,14,21,26,35,96
12,Justise Winslow,23,11,5,352,50,129,.388,6,27,.222,44,102,.431,.411,18,27,.667,16,57,73,44,7,5,24,38,124
13,Chris Silva,23,44,0,346,48,78,.615,0,3,.000,48,75,.640,.615,37,55,.673,60,66,126,23,9,21,32,85,133
14,James Johnson,32,18,0,281,39,87,.448,16,45,.356,23,42,.548,.540,8,14,.571,8,44,52,21,6,13,15,34,102
15,Solomon Hill,28,11,1,187,14,45,.311,7,24,.292,7,21,.333,.389,14,16,.875,5,16,21,10,12,5,11,12,49
16,Gabe Vincent,23,9,0,83,8,37,.216,6,27,.222,2,10,.200,.297,0,0,,0,5,5,6,5,0,1,6,22
17,Udonis Haslem,39,4,1,44,4,11,.364,1,3,.333,3,8,.375,.409,3,4,.750,1,15,16,1,0,0,1,6,12
18,Dion Waiters,28,3,0,42,10,26,.385,8,17,.471,2,9,.222,.538,0,1,.000,0,11,11,3,0,2,3,5,28
19,KZ Okpala,20,5,0,26,3,5,.600,0,1,.000,3,4,.750,.600,1,2,.500,1,4,5,1,2,1,1,2,7
20,Daryl Macon,24,4,0,14,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,0,0,0,1,0,0,2,1,3
21,Kyle Alexander,23,2,0,13,1,2,.500,0,0,,1,2,.500,.500,0,0,,2,1,3,0,0,0,1,1,2